assouvir;2;6;assouv;;t;;;;
assujettir;2;6;assujettir;;t;p;;;
assumer;1;3;assumer;;;;;;
assurer;1;3;assur;;t;i;p;;
asticoter;1;3;astiqu;;t;;;;
astiquer;1;11;astiqu;;t;;;;
astreindre;3;86;;;t;p;;;
atermoyer;1;27;atermoy;;i;;;;
atomiser;1;3;atomis;;t;p;;;
atrophier;1;8;atrophi;;t;p;;;
attabler;1;3;attabl;;t;p;;;
attacher;1;3;attach;;t;p;;;
attaquer;1;11;attaqu;;t;p;;;
attarder;1;5;attard;;xp;;;;
atteindre;3;86;;;t;ti;;;
atteler;1;21;attel;;t;p;;;
attendrir;2;6;attendr;;t;p;;;
attenir;1;39;;;i;d;;;
attenter;1;3;attent;;ti;;;;
atténuer;1;7;atténu;;t;p;;;
atterrer;1;3;atterr;;t;;;;
atterrir;2;6;atterr;;i;t;;;avoir/être
attester;1;3;attest;;t;;;;
attiédir;2;6;attiéd;;t;p;;;
attifer;1;3;attif;;t;p;;;
attiger;1;13;attig;;t;;;;
attirer;1;3;attir;;t;p;;;
attiser;1;3;attis;;t;;;;
attitrer;1;3;attitr;;t;;;;
attraper;1;3;attrap;;t;p;;;
attribuer;1;7;attribu;;t;p;;;
attriquer;1;11;attriqu;;t;;;;
attrister;1;3;attrist;;t;p;;;
attrouper;1;3;atrroup;;t;p;;;
auditer;1;3;audit;;t;;;;
augmenter;1;3;augment;;i;t;;;avoir/être
augurer;1;3;augur;;t;;;;
aumôner;1;3;aumôn;;t;;;;
auner;1;3;aun;;t;;;;
auréoler;1;3;auréol;;t;;;;
aurifier;1;8;aurifi;;t;;;;
ausculter;1;3;auscult;;t;;;;
authentifier;1;8;authentifi;;t;;;;
authentiquer;1;11;authentiqu;;t;;;;
autoanalyser;1;3;autoanalys;;xp;;;;
autocensurer;1;3;autocensur;;xp;;;;
autodétruire;3;74;;;xp;;;;
autodéterminer;1;3;autodétermin;;xp;;;;
autoéditer;1;3;autoédit;;xp;;;;
autofinancer;1;12;autofinan;;t;p;;;
autoflageller;1;3;autoflagell;;xp;;;;
autographier;1;8;autographi;;t;;;;
autoguider;1;3;autoguid;;xp;;;;
autolimiter;1;3;autolimit;;xp;;;;
automatiser;1;3;automatis;;t;;;;
automutiler;1;3;automutil;;xp;;;;
autoproclamer;1;3;autoproclam;;xp;;;;
autoproduire;3;74;;;xp;;;;
autopsier;1;8;autopsi;;t;;;;
autoréguler;1;3;autorégul;;xp;;;;;
autoriser;1;3;autoris;;t;p;;;;
autosuggestionner;1;3;autosuggestionn;;xp;;;;;
autotomiser;1;3;autotomis;;xp;;;;;
avachir;2;6;avach;;t;p;;;;
avaler;1;3;aval;;t;;;;;
avaliser;1;3;avalis;;t;;;;;
avancer;1;12;avan;;i;t;p;;;
avantager;1;13;avantag;;t;;;;;
avarier;1;8;avari;;t;p;;;;
aveindre;3;86;;;t;;;;;
avenir;3;39;;;i;ti;d;;;
aventurer;1;3;aventur;;t;p;;;;
avérer;1;14;av;r;t;p;;;;
avertir;2;6;avert;;t;;;;;
aveugler;1;3;aveugl;;t;p;;;;
aveulir;2;6;aveul;;t;p;;;;
avilir;2;6;avil;;t;p;;;;
aviner;1;3;avin;;t;;;;;
aviser;1;3;avis;;t;ti;p;;;
avitailler;1;9;avitaill;;t;p;;;;
aviver;1;3;aviv;;t;;;;;
avocasser;1;3;avocass;;t;;;;;
avoiner;1;3;avoin;;t;;;;;
avoir;3;2;;;t;;;;;
avoisiner;1;3;avoisin;;t;;;;;
avorter;1;3;avort;;i;t;;;avoir/être;
avouer;1;7;avou;;t;p;;;;
avoyer;1;27;avo;;t;;;;;
axer;1;3;ax;;t;;;;;
axiomatiser;1;3;axiomatis;;t;;;;;
azimuter;1;3;azimut;;t;;;;;azimuther
azimuther;1;3;azimuth;;t;;;;;azimuter
azurer;1;3;azur;;t;;;;;
babeler;1;21;babel;;i;;;;;
babiller;1;9;babill;;i;;;;;
bâcher;1;3;bâch;;t;;;;;
bachoter;1;3;bachot;;i;;;;;
bâcler;1;3;bâcl;;t;;;;;
bader;1;3;bad;;i;t;;;;
badigeonner;1;3;badigeonn;;t;p;;;;
badiner;1;3;badin;;i;;;;;
baffer;1;3;baff;;t;;;;;
bafouer;1;7;bafou;;t;;;;;
bafouiller;1;9;bafouill;;t;;;;;
bâfrer;1;3;bâfr;;t;;;;;
bagarrer;1;3;bagarr;;i;p;;;;
bagoter;1;3;bagot;;i;;;;;bagotter
bagotter;1;3;bagott;;i;;;;;bagoter
bagouler;1;3;bagoul;;i;;;;;
baguenauder;1;3;baguenaud;;i;;;;;
baguer;1;11;bagu;;t;;;;;
baigner;1;9;baign;;t;p;;;;
bailler;1;9;baill;;t;;;;;
bâiller;1;9;bâill;;i;;;;;
bâillonner;1;3;bâillonn;;t;;;;;
baiser;1;3;bais;;i;t;;;;
baisser;1;3;baiss;;i;t;p;;avoir/être;
balader;1;3;balad;;t;p;;;;
balafrer;1;3;balafr;;t;;;;;
balancer;1;12;balan;;i;t;p;;;
balanstiquer;1;11;balanstiqu;;t;;;;;
balayer;1;25;bala;;t;;;;;
balbutier;1;8;balbuti;;i;t;;;;
baleiner;1;3;balein;;t;;;;;
baligander;1;3;baligand;;i;;;;;
baliser;1;3;balis;;i;t;;;;
balkaniser;1;3;balkanis;;t;p;;;;
ballaster;1;3;ballast;;t;;;;;
baller;1;3;ball;;i;;;;;
ballonner;1;3;ballonn;;t;;;;;
ballotter;1;3;ballott;;i;t;;;;
balluchonner;1;3;balluchonn;;t;p;;;;baluchonner
baluchonner;1;3;baluchonn;;t;p;;;;balluchonner
balter;1;3;balt;;t;;;;;
bambocher;1;3;bamboch;;i;;;;;
banaliser;1;3;banalis;;t;p;;;;
bananer;1;3;banan;;t;p;;;;
bancher;1;3;banch;;t;;;;;
bander;1;3;band;;i;t;p;;;
banner;1;3;band;;t;;;;;
bannir;2;6;bann;;t;;;;;
banquer;1;11;banqu;;i;;;;;
banqueter;1;24;banquet;;i;;;;;
baptiser;1;3;baptis;;t;;;;;
baquer;1;11;baqu;;t;p;;;;
baqueter;1;24;baquet;;t;;;;;
baragouiner;1;3;baragouin;;i;t;;;;
baraquer;1;11;baraqu;;i;t;;;;
baratiner;1;3;baratin;;t;;;;;
baratter;1;3;baratt;;t;;;;;
barber;1;3;;;t;p;;;;
barbifier;1;8;;;t;p;;;;
barboter;1;3;;;i;t;;;;
barbouiller;1;9;;;t;;;;;
barder;1;3;;;t;;;;;
baréter;1;14;;;i;;;;;
barguigner;1;9;barguign;;i;;;;;
barioler;1;3;;;t;;;;;
barjaquer;1;11;;;i;;;;;
barloquer;1;11;;;i;;;;;
baronner;1;3;;;t;;;;;
barouder;1;3;;;i;;;;;
barrer;1;3;;;t;p;;;;
barricader;1;3;;;t;p;;;;
barrir;2;6;;;i;;;;;
basaner;1;3;;;t;;;;;
basculer;1;3;;;i;t;;;;
baser;1;3;;;t;p;;;;
bassiner;1;3;;;t;;;;;
baster;1;3;;;i;;;;;
bastillonner;1;3;;;t;;;;;
bastonner;1;3;;;t;p;;;;
batailler;1;9;;;i;p;;;;
bateler;1;21;batel;;i;t;;;;
bâter;1;3;bât;;t;;;;;
batifoler;1;3;batifol;;i;;;;;
bâtir;2;6;bât;;t;p;;;;
bâtonner;1;3;bâtonn;;t;;;;;
battre;3;93;;;i;t;ti;p;;
bauger;1;13;;;i;p;;;;
bavarder;1;3;;;i;;;;;
bavasser;1;3;;;i;;;;;
baver;1;3;;;i;;;;;
bavocher;1;3;;;i;;;;;
bayer;1;25;;;i;;;;;
bazarder;1;3;;;t;;;;;
béatifier;1;8;;;t;;;;;
bêcher;1;3;;;t;;;;;
bêcheveter;1;24;;;t;;;;;
bécoter;1;3;;;t;p;;;;
becquer;1;11;;;t;;;;;
becqueter;1;24;;;t;;;;;
becter;1;3;;;t;d;;;;
bedonner;1;3;;;i;;;;;
béer;1;10;;;i;d;;;;
bégaler;1;3;;;t;;;;;
bégayer;1;25;;;i;t;;;;
bégueter;1;23;;;i;;;;;
bêler;1;3;;;i;;;;;
belloter;1;3;;;i;;;;;beloter
beloter;1;3;;;i;;;;;belloter
bémoliser;1;3;;;t;;;;;
bénéficier;1;8;;;ti;;;;;
bénir;2;6;;;t;;;;;
benner;1;3;;;t;;;;;
béquer;1;16;;;t;;;;;
béqueter;1;24;;;t;;;;;
béquiller;1;9;;;i;t;;;;
bercer;1;12;;;t;p;;;;
berdeller;1;3;;;i;t;;;;
berlurer;1;3;;;i;p;;;;
berner;1;3;;;t;;;;;
besogner;1;9;;;i;t;;;;
bêtifier;1;8;;;i;t;;;;
bêtiser;1;3;;;i;;;;;
bétonner;1;3;;;i;t;;;;
beugler;1;3;;;i;t;;;;
beurrer;1;3;;;t;p;;;;
biaiser;1;3;;;i;t;;;;
bibarder;1;3;;;i;;;;;
bibeloter;1;3;;;i;;;;;
biberonner;1;3;;;i;;;;;
bicher;1;3;;;i;;;;;
bichonner;1;3;;;t;p;;;;
bichoter;1;3;;;i;;;;;
bider;1;3;;;xp;;;;;
bidonner;1;3;;;t;p;;;;
bidouiller;1;9;;;t;;;;;
bienvenir;1;9;;;i;d;;;;
biffer;1;3;;;t;;;;;
biffetonner;1;3;;;i;;;;;
bifurquer;1;11;;;i;;;;;
bigarrer;1;3;;;t;;;;;
bigler;1;3;;;i;t;;;;
